domain,"domain_type","domain_wc","match_depth","sort_order"
"s3-website.dualstack.eu-south-2.amazonaws.com",PRIVATE,"s3-website.dualstack.eu-south-2.amazonaws.com",6,4
"s3.dualstack.eu-west-1.amazonaws.com",PRIVATE,"*.s3.dualstack.eu-west-1.amazonaws.com",6,4
"s3.dualstack.eu-west-1.amazonaws.com",PRIVATE,"s3.dualstack.eu-west-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.eu-west-1.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.eu-west-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.eu-west-1.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.eu-west-1.amazonaws.com",6,4
"s3-website.dualstack.eu-west-1.amazonaws.com",PRIVATE,"*.s3-website.dualstack.eu-west-1.amazonaws.com",6,4
"s3-website.dualstack.eu-west-1.amazonaws.com",PRIVATE,"s3-website.dualstack.eu-west-1.amazonaws.com",6,4
"s3.dualstack.eu-west-2.amazonaws.com",PRIVATE,"*.s3.dualstack.eu-west-2.amazonaws.com",6,4
"s3.dualstack.eu-west-2.amazonaws.com",PRIVATE,"s3.dualstack.eu-west-2.amazonaws.com",6,4
"s3-accesspoint.dualstack.eu-west-2.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.eu-west-2.amazonaws.com",6,4
"s3-accesspoint.dualstack.eu-west-2.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.eu-west-2.amazonaws.com",6,4
"s3.dualstack.eu-west-3.amazonaws.com",PRIVATE,"*.s3.dualstack.eu-west-3.amazonaws.com",6,4
"s3.dualstack.eu-west-3.amazonaws.com",PRIVATE,"s3.dualstack.eu-west-3.amazonaws.com",6,4
"s3-accesspoint.dualstack.eu-west-3.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.eu-west-3.amazonaws.com",6,4
"s3-accesspoint.dualstack.eu-west-3.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.eu-west-3.amazonaws.com",6,4
"s3-website.dualstack.eu-west-3.amazonaws.com",PRIVATE,"*.s3-website.dualstack.eu-west-3.amazonaws.com",6,4
"s3-website.dualstack.eu-west-3.amazonaws.com",PRIVATE,"s3-website.dualstack.eu-west-3.amazonaws.com",6,4
"s3.dualstack.il-central-1.amazonaws.com",PRIVATE,"*.s3.dualstack.il-central-1.amazonaws.com",6,4
"s3.dualstack.il-central-1.amazonaws.com",PRIVATE,"s3.dualstack.il-central-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.il-central-1.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.il-central-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.il-central-1.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.il-central-1.amazonaws.com",6,4
"s3-website.dualstack.il-central-1.amazonaws.com",PRIVATE,"*.s3-website.dualstack.il-central-1.amazonaws.com",6,4
"s3-website.dualstack.il-central-1.amazonaws.com",PRIVATE,"s3-website.dualstack.il-central-1.amazonaws.com",6,4
"s3.dualstack.me-central-1.amazonaws.com",PRIVATE,"*.s3.dualstack.me-central-1.amazonaws.com",6,4
"s3.dualstack.me-central-1.amazonaws.com",PRIVATE,"s3.dualstack.me-central-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.me-central-1.amazonaws.com",PRIVATE,"*.s3-accesspoint.dualstack.me-central-1.amazonaws.com",6,4
"s3-accesspoint.dualstack.me-central-1.amazonaws.com",PRIVATE,"s3-accesspoint.dualstack.me-central-1.amazonaws.com",6,4
"s3-website.dualstack.me-central-1.amazonaws.com",PRIVATE,"*.s3-website.dualstack.me-central-1.amazonaws.com",6,4
"s3-website.dualstack.me-central-1.amazonaws.com",PRIVATE,"s3-website.dualstack.me-central-1.amazonaws.com",6,4
"s3.dualstack.me-south-1.amazonaws.com",PRIVATE,"*.s3.dualstack.me-south-1.amazonaws.com",6,4
